书名,封面,作者,出版社,出品方,出版年,页数,定价,ISBN,豆瓣评分,内容简介,豆瓣URL
如何提高工作效率,https://img9.doubanio.com/view/subject/s/public/s11136674.jpg,徐伟 编, 北京大学出版社, 时代光华, 2005-1,265, 36.00元,9.7873E+12,,在激烈的市场竞争条件下，工作效率的高低已成为影响企业成败的关键因素。因此，掌握提高工作效率的相关理论，技巧和 方法将成为经理人的必备技能。本书不仅阐述了如何在效率意识，目标设置，任务划分，时间管理，交流沟通，团队建设等方面直接提高工作效率，而且讲述了克服工作效率低下的方法和工具以及完善效率考核管理的技巧。相信本书所总结的五十多个实用技能，将最大限度发挥管理者的效能，快速提高工作效率。,https://book.douban.com/subject/1226614/
On Doing Nothing,https://img3.doubanio.com/view/subject/s/public/s29950882.jpg,Roman Muradov, Chronicle Books,, 2018-6-22,112, GBP 9.99,9.78145E+12,,"In an age of obsessive productivity and stress, this illustrated ode to idleness invites readers to explore the pleasures and possibilities of slowing down. Beloved author and illustrator Roman Muradov weaves together the words and stories of artists, writers, philosophers, and eccentrics who have pursued inspiration by doing less. He reveals that doing nothing is both easily a...(展开全部)",https://book.douban.com/subject/30405818/
圣经故事与英国文学作品赏析,https://img9.doubanio.com/view/subject/s/public/s33311576.jpg,, 辽宁人民出版社,,,,,9.78721E+12,,,https://book.douban.com/subject/34449240/
考研记,https://img1.doubanio.com/view/subject/s/public/s29921838.jpg,小莫, 清华大学出版社,, 2018-8-1,205,39,9.7873E+12,6,教你如何为考研学习。作者从学渣逆袭为学霸。,https://book.douban.com/subject/30377588/
犹太教,https://img1.doubanio.com/view/subject/s/public/s8459340.jpg,(美)撒母耳·S.科亨, 四川人民出版社,, 2009-1,355, 24.00元,9.78722E+12,8.9,本书作者站在现代人的立场上，从犹太人的现实生活出发，详细论述了犹 太教的产生、历史和意义，犹太教的律法、制度、组织、礼拜、礼仪、祷告、 捐赠、饮食法、习俗、公义思想、道德观念、伦理规范等，以及践行犹太教的 三重方法；作者在论述犹太教的过程中，还提出了现代人面临的种种宗教问 题，并在对这些问题进行理性思考的同时，作出了深入浅出、通俗易懂并有针 对性的回答，从而论证了，犹太教的独特之处并不仅仅在于其提出了一种一神 教的思想，而更在于它对犹太人生活方方面面的规范和对犹太人生活之道的确 定，因而是一种“因行称义”的宗教。,https://book.douban.com/subject/3596682/
人类交换规律与人类行为准则的发展,https://img3.doubanio.com/view/subject/s/public/s6075447.jpg,赫尔曼﹒海因里希﹒戈森, 商务印书馆 译者,, 2000-12-01,0, 21.00元,9.7871E+12,8.5,赫尔曼·海因里希·戈森（1810—1858），德国经济学家，边际效用理论的三大先驱之一。该书共四篇，第一篇论述享受与效用规律，第二篇论述交换规律，第三篇分析个人行为及福利与社会的相互关系，第四篇提出了有关经济和社会改革的各种政策主张。戈森理论的核心是关于人的享受规律。他为经济学规定的任务是：发现这些享受规律，阐明按照这些规律行事的条件，从而帮助人们获得最大的生活享受。,https://book.douban.com/subject/1546442/
记忆宫殿,https://img3.doubanio.com/view/subject/s/public/s29743832.jpg,宁梓亦, 中国纺织出版社,, 2018-2,234,39.8,9.78752E+12,7.2,《记忆宫殿：一本书快速提升记忆力》向读者介绍了全世界记忆高手都在用的记忆方法：记忆宫殿，掌握记忆宫殿可以长久记忆海量的数字和文字资料。学习记忆宫殿并不难，作者从视觉图像是高效记忆法的基础谈起，引导读者转变记忆模式，提高想象和联结的能力，掌握数字编码系统，结合书中提供的大量的实践练习，建立属于自己的记忆宫殿，从而轻松记忆学科知识、职业技能和生活细节。对于应用记忆术遇到的困惑，作者也提供了特别的见解。,https://book.douban.com/subject/30197924/
格雷巴旅馆,https://img9.doubanio.com/view/subject/s/public/s29868856.jpg,[美] 柯蒂斯·道金斯, 百花洲文艺出版社, 白马时光, 2018-9,248, 42.00元,9.78755E+12,6.3,作者被判终身监禁，此刻故事正在发生……这是一本极为特别的书。因为小说里的描摹的人物全是美国监狱在押罪犯。而小说作者所讲述的，正是他和他的狱友以及这所监狱里正在发生的一切。罪恶与人性，自由与孤独、绝望与希望、权力与谎言、冰冷与欢乐——作者用写实的笔触为 我们献上了这出与众不同的“监狱真人秀”，让你感受到黑色幽默背后的残酷与苦涩。,https://book.douban.com/subject/30282316/
算法之美,https://img9.doubanio.com/view/subject/s/public/s29762735.jpg,[美] 布莱恩·克里斯汀 / [美] 汤姆·格里菲思, 中信出版社,, 2018-5-18,358, 59.00元,9.78751E+12,7.4,我们所有人的生活都受到有限空间和有限时间的限制，因此常常面临一系列难以抉择的问题。在一天或者一生的时光里，哪些事是我们应该做的，哪些是应该放弃的？我们对杂乱无序的容忍底线是什么？新的活动与熟悉并喜爱的活动之间如何平衡，才能取得令人愉快的结果？这些看似是人类特有的难题，其实不然，因为计算机也面临同样的问题，计算机科学家几十年来也一直在努力解决这些问题，而他们找到的解决方案可以给我们很多启发。通过丰富的跨学科研究，作者指出，计算机算法也可以用来解答人类面临的这些问题。这本书告诉我们如何更有效地利用直觉、什么时候应该把选择权交给命运、无所适从的时候应该如何做出选择，以及如何有效地与他人保持联系。从找配偶到找停车位，从组织管理个人邮箱的收件箱到理解人类记忆的作用原理，这本书把计算机科学的智慧转化为人类生活的策略，引导我们做出明智的选择。,https://book.douban.com/subject/30155731/
HTTP权威指南,https://img3.doubanio.com/view/subject/s/public/s11329547.jpg,David Gourley / Brian Totty, 人民邮电出版社,, 2012-9,720, 109.00元,9.78712E+12,8.6,超文本传输协议（Hypertext Transfer Protocol，HTTP）是在万维网上进行通信时所使用的协议方案。HTTP有很多应用，但最著名的是用于web浏览器和web服务器之间的双工通信。HTTP起初是一个简单的协议，因此你可能会认为关于这个协议没有太多好说的。但现在，你手上拿着的是却一本两磅重 的书。如果你对我们怎么会写出一本650页 的关于HTTP的书感到奇怪的话，可以去看一下目录。本书不仅仅是一本HTTP首部的参考手册；它是一本名副其实的web结构圣经。本书中，我们尝试着将HTTP中一些互相关联且常被误解的规则梳理清楚，并编写了一系列基于各种主题的章节，对HTTP各方面的特性进行了介绍。纵观全书，我们对HTTP“为什么”这样做进行了详细的解释，而不仅仅停留在它是“怎么做”的。而且，为了节省大家寻找参考文献的时间，我们还对很多HT...(展开全部),https://book.douban.com/subject/10746113/
认识自我,https://img3.doubanio.com/view/subject/s/public/s1154343.jpg,刘津, 海潮出版社 译者,, 2003-4-1,384,10,9.7878E+12,,长期以来，心理学家和心理咨询师一直在寻求运用心理学的知识和手段，帮助人们更好地认识自己和他人。心理测试便是其中的重要手段之一。本书通过一些世界权威心理学家的专业测试，让你更好地了解自己，全面地认识自己的性格、气质、能力、兴趣、职业、婚姻等。,https://book.douban.com/subject/1213721/
脑力触发 记忆冠军的大脑训练术,https://img1.doubanio.com/cuphead/book-static/pics/book-default-lpic.gif,[德]克里斯蒂安娜·施滕格（Christiane Stenger）, 人民邮电出版社,,,, 49元,9.78712E+12,,,https://book.douban.com/subject/30858647/
人脸识别原理及算法,https://img1.doubanio.com/view/subject/s/public/s27979779.jpg,沈理 / 刘翼光 / 熊志勇, 人民邮电出版社,, 2014-10,235,89,9.78712E+12,,《人脸识别原理及算法：动态人脸识别系统研究》系统介绍了人脸识别研究领域的研究状况以及作者在人脸识别领域的研究工作和研究成果，全书共分为3个部分。第1部分首先介绍了人脸识别的基础：计算机视觉和模式识别的原理，并介绍了20世纪70年代以来国内外人脸识别研究的研究动态和主要方法，以及国内外人脸识别研究的主要成果和用途。第2部分介绍了基于双属性图的人脸识别算法，该算法采用人脸特征检测、主成分分析方法、Gabor函数等建立了一个人脸特征识别和属性特征匹配的人脸识别方法，并结合人脸图像的局部特征和全局特征，能够有效地利用从三维到二维投影的人脸图像信息之间的关联性。第3部分介绍了动态场景下的人脸识别方法，该方法综合应用了人脸定位、人脸识别、视频处理等算法。《人脸识别原理及算法：动态人脸识别系统研究》的读者对象主要为研究模式识别的科技人员以及高等院校高年级的...(展开全部),https://book.douban.com/subject/26297427/
高效记忆的技术,https://img2.doubanio.com/view/subject/s/public/s29513921.jpg,覃雷, 中国纺织出版社,,,224,,9.78752E+12,,《高效记忆的技术 》是一本可以让你在轻松阅读中改善和提高记忆水平的实用宝典。从作者覃雷的成长经历切入，深度剖析了一个从小学习不好，记性又差的“丑小鸭”是如何一步步成长为世界记忆大师的。他以亲身经历告诉读者人类大脑蕴含的无限可能，并以自己多年摸索总结出的一系列记忆技巧和方法揭开了“记忆术”的神秘面纱：记忆力与其他能力一样，是可以通过训练激发出来的，记忆力可以在反复的练习中不断发展提高。只要摸透了记忆的规律，掌握了科学的记忆方法，每个人的记忆力都可以有大的突破。书中还介绍了世界脑力锦标赛各个项目的规则、计分方法及答卷，附带记忆大师覃雷自己的全套编码和部分地点桩。此外，本书精心整理了记忆训练中较为常见的100多个问题的答案，为那些想要成为世界记忆大师的读者们 送去了福音。,https://book.douban.com/subject/27110428/
最强大脑,https://img1.doubanio.com/view/subject/s/public/s34059190.jpg,鸿雁, 吉林文史出版社,,,, 38元,9.78755E+12,,,https://book.douban.com/subject/31768342/
思维导图从入门到精通,https://img3.doubanio.com/view/subject/s/public/s29861683.jpg,宋莹, 北京大学出版社,,,340, 58元,9.7873E+12,6.5,《思维导图从入门到精通》以思维导图的入门方法及各种实际应用案例为主线，结合作者十多年的脑力开发教学经验，为读者提供了全方位的思维导图成长方案。全书分为四个部分，共11章内容。一部分（第1~2章）讲解思维导图的入门方法，主要从认识大脑和思维导图及思维导图的绘制方法展开；第二部分（第3~6章）侧重探讨思维导图在工作和生活上的应用，包括工作策划、日常阅读、时间管理和会议演讲等与思维导图的结合；第三部分（第7~9章）是关于思维导图学习与应试方法的内容，讲如何将思维导图应用于听课、写作、学习计划、知识记忆和亲子互动等学习环节；第四部分（第10~11章）介绍思维导图的综合应用，具体包括图形记录技术、电脑导图特点、问题解决导图和思维导图心法等内容。全书每章都有丰富的图例和绘制步骤指导，有利于读者快速上手，并多元化应用。本书将思维导图的操作充分与记忆方法、时间管...(展开全部),https://book.douban.com/subject/30318268/
