标题,评分,评分人数,导演,主演,标签,类型,上映日期,片长,剧情简介,海报图片,制片国家/地区,语言,又名,IMDb,豆瓣url,集数
前任4：英年早婚,5.6,138512,田羽生,"韩庚, 郑恺, 于文文, 刘雅瑟, 曾梦雪, 张天爱, 朱颜曼滋, 罗米, 冯铭潮, 药一樍, 于惠, 苗艺博, 田羽生, 张栾","喜剧, 爱情",电影,2023-09-28(中国大陆),129分钟,孟云（韩庚 饰）和余飞（郑恺 饰）这对难兄难弟，在历经情场的洗礼之后，终于来到了谈婚论嫁的年纪。正在经历“分手后遗症”的孟云，面对家人的催促，带着“为什么要结婚”的疑问，开始寻找真爱；而余飞和女友丁点（曾梦雪 饰）为了应对结婚后即将产生的各种情况，自创了“结婚冷静期”，将婚后生活提前预演。两兄弟开启一场全新的爱情挑战……,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898244180.jpg,中国大陆,汉语普通话,前任4 / 分手清单 / 前任：分手清单 / 前任攻略4 / The Ex-Files 4: Marriage Plan,tt26911640,https://movie.douban.com/subject/35358443/,1
猩球崛起：新世界 Kingdom of the Planet of the Apes,6.3,43338,韦斯·鲍尔,"欧文·泰格, 弗蕾娅·艾伦, 凯文·杜兰, 彼德·梅肯, 威廉姆·H·梅西, 艾卡·达维尔, 特拉维斯·杰弗里, 莉迪亚·佩克汉, 尼尔·桑迪兰兹, 迪辰·拉克曼, 拉斯-塞缪尔·瓦尔达布兹, 萨拉·怀斯曼, 卡琳·考诺娃, 尼娜·加拉斯, Olga Miller, Zay Domo Artist, Dmitriy Miller, Anastasia Miller","动作, 科幻, 冒险",电影,2024-05-10(美国/中国大陆),145分钟,故事设定在“猿流感”病毒蔓延全球的背景下，人类几近毁灭，而进化为高级智慧生物的猿类一跃成为食物链顶端的王者。时移世异，暴虐的猿类首领赛撒（凯文·杜兰 Kevin Durand 饰）在一片废墟中建立起猿族历史上的第一个帝国——“猩球”崛起，这是世界新秩序诞生的黎明时分。神秘的人类女孩诺娃（弗蕾娅·艾伦 Freya Allan 饰）的出现，引起了赛撒的警觉。她似乎掌握着一个巨大的秘密，不仅关乎人类的存亡，甚至可能再度颠覆整个“猩球”。被迫逃亡的诺娃在躲避赛撒军队的过程中，与青年猿类诺亚（欧文·泰格 Owen Teague 饰）的命运交汇，揭开了一段冒险的旅程。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905957300.jpg,美国,英语,猩球崛起4：新世界 / 猿人争霸战：猩凶帝国(港) / 猩球崛起：王国诞生(台) / 猩球崛起：王国 / 猩球崛起4 / 猩球王国 / 人猿星球国度 / 新人猿星球 / Planet of the Apes 4,tt11389872,https://movie.douban.com/subject/36069854/,1
新生,7.0,142397,申奥,"井柏然, 周依然, 王砚辉, 黄觉, 张艺凡, 彭杨, 何廖侣匀, 陈雨贤, 张炯敏, 王一舟, 宋郁河, 何英伟, 赵早儿, 翟一青, 吴任远, 王沚渊, 杨涵博","剧情, 悬疑",电视剧,2024-05-06(中国大陆),60分钟,一场关于费可（井柏然 饰）的追思会，女记者何珊（周依然 饰）与五位陌生人一同受邀。他们都跟费可有着不为人知的过往，但他们发现所认识的费可并不是同一个人。费可到底是谁？众人展开回溯，逐步揭开了关于费可的真相……,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2907845241.jpg,中国大陆,汉语普通话,费可的晚宴 / Regeneration,tt28178829,https://movie.douban.com/subject/36127872/,10
海德 하이드,5.8,763,金东辉,"李宝英, 李茂生","剧情, 悬疑, 惊悚",电视剧,2024-03-23(韩国),,该剧改编自英国作品，讲述了一个消失的人和一个追逐真相的女人的追踪惊悚故事。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2905108882.jpg,韩国,韩语,Hide,tt31188691,https://movie.douban.com/subject/36382119/,12
狼狩猎 늑대사냥,5.8,17828,金泓善,"徐仁国, 张东润, 成东日, 崔奎华, 朴浩山, 丁文晟, 金嫝勋, 林周焕, 郑素敏, 权秀贤, 张荣男","动作, 科幻, 惊悚, 犯罪",电影,2022-09-16(多伦多电影节),122分钟,故事叙述在移送罪大恶极的罪犯们到韩国的过程中，遭遇前所未有的极端状况，船上的人们必须设法活到最后！,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2880666716.jpg,韩国,韩语 / 日语 / 英语,猎狼代号：尸杀号(港) / 行动代号：狼狩猎(台) / Project Wolf Hunting,tt15575470,https://movie.douban.com/subject/35426373/,1
亚洲怪谈 第二季 Folklore Season 2,5.8,1930,廖士涵,"宋芸桦, 吴慷仁, 森崎温, 高桥春织, 元冬树, 木村多江, 詹尼斯·奥普拉斯特, 多莉·德莱昂, 莉迪亚·坎多, 王欣, 林明伦, 吴启恩","剧情, 悬疑, 恐怖",电视剧,2021-11-14(美国),,HBO亚洲剧集《亚洲怪谈》第二季共6集，每集的故事素材源于亚洲各地区不同的恐怖传说，包括中国台湾、日本、泰国、菲律宾、印度尼西亚和新加坡。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2711178217.jpg,美国,汉语普通话 / 日语 / 泰语 / 菲律宾语 / 印度尼西亚语 / 英语,民俗怪谈 / 新亚洲诡谈,tt16194440,https://movie.douban.com/subject/35273098/,7
乌鸦的拇指 カラスの親指,7.7,13183,伊藤匡史,"阿部宽, 石原里美, 村上昭二, 能年玲奈, 小柳友","剧情, 悬疑",电影,2012-11-23(日本),160分钟,"武泽竹夫（阿部宽 饰），绰号“老武”，人过中年的他是一个有着丰富经验的职业欺诈师，他与貌不惊人并且反应迟钝的入川铁巳“老铁”（村上昭二 饰）不打不相识，将后者引入行与自己结为搭档，穿行于都市的各个角落，银行、赛马场、当铺随处可见他们行骗的身影。拥有不堪回首过去的二人相互扶持，在底层过着不咸不淡的生活。某天，这对搭档与姐妹花河合八寻（石原里美 饰）、河合真寻（能年玲奈 饰）以及男孩石屋贯太郎（小柳友 饰）的人生发生交集。五个人生处于最底层的人，组成了一个略显别扭的临时家庭，他们朝着人生的转折点携手前进……
                                    
                                　　本片根据2011年直木赏得主道尾秀介的同名原著改编。",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1795123431.jpg,日本,日语,Karasu no oyayubi / Crow's Thumb,tt2005255,https://movie.douban.com/subject/6889533/,1
疯狂绑架,,,张冰寒,"杜奕衡, 钟祺, 大力, 裴魁山, 石天龙, 曲艺, 舒杨, 赵志喆, 邓橙子",悬疑,电影,2024-04-21(中国大陆),96分钟,杜奕衡在电影《疯狂绑架》中挑战的角色是才子画家，粉丝认为这与他之前银幕形象有180度大反转。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2906984272.jpg,中国大陆,汉语普通话,,无,https://movie.douban.com/subject/27195124/,1
破墓 파묘,6.7,128443,张在现,"崔岷植, 金高银, 柳海真, 李到晛, 全镇基, 洪瑞俊, 郑允荷, 金宰澈, 尹正勋, 李英兰, 李钟求, 白承哲, 朴智一, 朴正子, 薛昌熙","悬疑, 惊悚, 恐怖",电影,2024-02-16(柏林电影节),134分钟,"在美国生活的某个富裕家庭身上持续发生奇怪的超自然现象，因此他们请来了在巫师之中著名的年轻巫师花林（金高银 饰）和奉吉（李到晛 饰）。
                                    
                                　　花林和奉吉到达那个地方后救助了刚刚出生的婴儿，明白了他们祖先黑暗的影子正在降临于那家人身上的事实。
                                    
                                　　花林和奉吉持续调查，为了驱除祖先向最棒的风水师尚德（崔岷植 饰）和入殓师荣根（柳海真 饰）请求帮助。惊讶的是那块墓地在韩国的某个偏僻村庄的阴凉之处被发现，最终进行破墓。但是破墓的同时，坟墓下方的不吉之气开始爆发……",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905896429.jpg,韩国,韩语 / 日语 / 英语,The Unearthed Grave / Exhuma,tt27802490,https://movie.douban.com/subject/35490167/,1
迷案寻凶,,,张杰,"卢冠东, 翟璘, 宋宗轩, 穆建荣","剧情, 悬疑",电影,2024-04-07(中国大陆),,生活中某些失意者、变态们通过互联网聚集在一起，导致某市近期频繁发生女性被绑架被杀害，受害者都是年轻女性，生活富足且都有一段见不得人的秘密情事。最终警方拨开层层迷雾将凶犯们逼出、擒获、击毙。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2906704520.jpg,中国大陆,汉语普通话,Hunting by Criminal Profiling,tt32083336,https://movie.douban.com/subject/36847651/,1
